Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Resettlement arrivals,Naturalisation,Refugee returns,IDP returns
1990,THA,CAN,Thailand,Canada,20,0,0,0
1990,THA,USA,Thailand,United States of America,0,73,0,0
1991,THA,CAN,Thailand,Canada,35,0,0,0
1991,THA,DNK,Thailand,Denmark,6,0,0,0
1991,THA,USA,Thailand,United States of America,0,61,0,0
1992,THA,AUS,Thailand,Australia,7,0,0,0
1992,THA,CAN,Thailand,Canada,15,0,0,0
1992,THA,USA,Thailand,United States of America,0,52,0,0
1993,THA,CAN,Thailand,Canada,16,0,0,0
1993,THA,USA,Thailand,United States of America,0,99,0,0
1994,THA,CAN,Thailand,Canada,5,0,0,0
1994,THA,USA,Thailand,United States of America,0,124,0,0
1995,THA,CAN,Thailand,Canada,94,0,0,0
1995,THA,USA,Thailand,United States of America,0,113,0,0
1996,THA,CAN,Thailand,Canada,92,0,0,0
1996,THA,USA,Thailand,United States of America,0,359,0,0
1997,THA,CAN,Thailand,Canada,5,0,0,0
1997,THA,USA,Thailand,United States of America,0,468,0,0
1998,THA,USA,Thailand,United States of America,0,210,0,0
1999,THA,AUS,Thailand,Australia,5,0,0,0
1999,THA,CAN,Thailand,Canada,8,0,0,0
1999,THA,USA,Thailand,United States of America,0,486,0,0
2000,THA,USA,Thailand,United States of America,0,632,0,0
2001,THA,CAN,Thailand,Canada,5,0,0,0
2001,THA,USA,Thailand,United States of America,0,635,0,0
2002,THA,NOR,Thailand,Norway,5,0,0,0
2002,THA,USA,Thailand,United States of America,0,1004,0,0
2003,THA,USA,Thailand,United States of America,0,1198,0,0
2004,THA,AUS,Thailand,Australia,67,0,0,0
2004,THA,USA,Thailand,United States of America,0,1213,0,0
2005,THA,AUS,Thailand,Australia,128,0,0,0
2005,THA,NOR,Thailand,Norway,5,0,0,0
2005,THA,USA,Thailand,United States of America,0,1305,0,0
2006,THA,AUS,Thailand,Australia,28,0,0,0
2006,THA,CAN,Thailand,Canada,5,0,0,0
2006,THA,USA,Thailand,United States of America,0,1198,0,0
2007,THA,AUS,Thailand,Australia,45,0,0,0
2007,THA,USA,Thailand,United States of America,0,1544,0,0
2008,THA,AUS,Thailand,Australia,750,0,0,0
2008,THA,CAN,Thailand,Canada,6,0,0,0
2008,THA,USA,Thailand,United States of America,0,2002,0,0
2009,THA,AUS,Thailand,Australia,74,0,0,0
2009,THA,CAN,Thailand,Canada,5,0,0,0
2009,THA,USA,Thailand,United States of America,0,787,0,0
2010,THA,AUS,Thailand,Australia,364,0,0,0
2010,THA,CZE,Thailand,Czechia,23,0,0,0
2010,THA,USA,Thailand,United States of America,7,0,0,0
2011,THA,AUS,Thailand,Australia,354,0,0,0
2011,THA,CAN,Thailand,Canada,6,0,0,0
2012,THA,AUS,Thailand,Australia,137,0,0,0
2012,THA,CAN,Thailand,Canada,5,0,0,0
2012,THA,USA,Thailand,United States of America,5,0,0,0
2013,THA,AUS,Thailand,Australia,392,0,0,0
2013,THA,USA,Thailand,United States of America,5,0,0,0
2014,THA,AUS,Thailand,Australia,434,0,0,0
2014,THA,CAN,Thailand,Canada,0,5,0,0
2014,THA,USA,Thailand,United States of America,8,0,0,0
2015,THA,AUS,Thailand,Australia,363,0,0,0
2015,THA,CAN,Thailand,Canada,5,5,0,0
2015,THA,USA,Thailand,United States of America,5,0,0,0
2016,THA,AUS,Thailand,Australia,424,0,0,0
2016,THA,CAN,Thailand,Canada,6,106,0,0
2016,THA,USA,Thailand,United States of America,5,0,0,0
2017,THA,AUS,Thailand,Australia,409,0,0,0
2017,THA,CAN,Thailand,Canada,0,71,0,0
2017,THA,USA,Thailand,United States of America,5,0,0,0
2018,THA,AUS,Thailand,Australia,328,0,0,0
2018,THA,CAN,Thailand,Canada,0,110,0,0
2018,THA,USA,Thailand,United States of America,7,0,0,0
2019,THA,AUS,Thailand,Australia,311,0,0,0
2019,THA,CAN,Thailand,Canada,0,311,0,0
2020,THA,AUS,Thailand,Australia,35,0,0,0
2021,THA,AUS,Thailand,Australia,5,0,0,0
2021,THA,CAN,Thailand,Canada,0,5,0,0
2022,THA,AUS,Thailand,Australia,282,0,0,0
2023,THA,AUS,Thailand,Australia,195,5,0,0
2024,THA,AUS,Thailand,Australia,233,0,0,0
2024,THA,CAN,Thailand,Canada,5,5,0,0
2025,THA,AUS,Thailand,Australia,534,0,0,0
2025,THA,CAN,Thailand,Canada,6,8,0,0
2025,THA,NLD,Thailand,Netherlands (Kingdom of the),0,48,0,0
